# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
610	0.830710	0.002974	0.533160	0.009106	0.283719	0.010618	0.128839	0.006080	0.052026	0.003474	0.016049	0.001180	0.000907	0.002972	0.000309	0.001554	0.003954	0.001657	0.002392	0.002230	-0.000029	0.001868
611	0.828009	0.002933	0.525598	0.006735	0.277488	0.007462	0.125694	0.006199	0.046913	0.004569	0.015143	0.004088	0.005672	0.003147	0.002469	0.001545	0.002585	0.001353	0.002701	0.002353	0.000714	0.002370
612	0.827488	0.002276	0.524441	0.005941	0.276505	0.007373	0.120698	0.006892	0.046586	0.006629	0.017573	0.004891	0.002006	0.002226	0.001177	0.002269	0.000733	0.002597	-0.002431	0.002691	0.000964	0.001971
613	0.828337	0.002072	0.522917	0.005281	0.275829	0.007639	0.121084	0.007343	0.043383	0.005831	0.022261	0.002643	0.008276	0.001483	0.005209	0.002012	0.004726	0.002596	-0.001717	0.002151	-0.000232	0.002493
614	0.830459	0.002799	0.530768	0.006150	0.284645	0.006317	0.130189	0.004611	0.056308	0.003650	0.014140	0.002782	0.002141	0.003602	0.001890	0.002009	-0.001659	0.002785	0.002411	0.001530	0.001051	0.001792
615	0.830440	0.002827	0.534047	0.007463	0.288715	0.009710	0.131153	0.008950	0.053472	0.006417	0.017921	0.002879	0.005883	0.002361	0.003511	0.004194	0.002122	0.001895	-0.000328	0.001676	0.002295	0.002870
616	0.834375	0.002975	0.542843	0.007635	0.291513	0.011044	0.132485	0.010638	0.051890	0.009801	0.016551	0.006127	0.004205	0.002637	0.001659	0.001349	0.002276	0.001733	0.001235	0.002457	0.002498	0.002274
617	0.829746	0.004227	0.533140	0.010157	0.287191	0.011468	0.132581	0.008446	0.054668	0.007830	0.021316	0.009676	0.008102	0.005044	0.003588	0.002128	0.003299	0.001143	0.001428	0.001140	0.002855	0.002040
618	0.829957	0.002924	0.532330	0.007527	0.287770	0.008600	0.128395	0.008676	0.045563	0.006201	0.018731	0.006174	0.007021	0.003006	-0.000984	0.003421	0.001428	0.001488	0.000058	0.002063	0.002247	0.002404
619	0.836034	0.002702	0.545370	0.007096	0.301736	0.009902	0.142014	0.009596	0.058295	0.005575	0.024595	0.003034	0.007986	0.001876	0.000444	0.001967	-0.003762	0.001785	-0.001157	0.001152	0.002103	0.001880
620	0.835687	0.001718	0.546779	0.006028	0.302257	0.008656	0.141165	0.009272	0.058025	0.006722	0.025386	0.003997	0.012654	0.002691	0.004147	0.002700	0.004360	0.002390	0.004456	0.002402	0.002402	0.001851
621	0.830980	0.003245	0.534066	0.007440	0.287751	0.009612	0.130382	0.007403	0.054514	0.005458	0.020853	0.002709	0.003434	0.002932	0.003202	0.001338	0.001852	0.002023	-0.001350	0.002108	0.003318	0.002319
622	0.827218	0.003843	0.531559	0.008418	0.291802	0.009979	0.139796	0.008313	0.064738	0.006297	0.028897	0.005628	0.014101	0.002755	0.003607	0.001850	0.001331	0.001657	-0.000579	0.003136	0.002681	0.001227
623	0.830093	0.003083	0.534201	0.007257	0.291570	0.010400	0.142052	0.008645	0.062924	0.007937	0.025463	0.004960	0.009800	0.003526	0.002392	0.002789	0.008526	0.001030	-0.000984	0.001088	0.003366	0.000998
624	0.830768	0.003147	0.538426	0.007473	0.295351	0.008909	0.144097	0.008436	0.064603	0.006202	0.022897	0.002021	0.006906	0.002602	0.002508	0.002102	0.000270	0.000988	0.002662	0.002747	0.001563	0.001551
625	0.834144	0.002206	0.542303	0.005135	0.295621	0.004920	0.141801	0.004703	0.057523	0.002445	0.021508	0.003162	0.005015	0.001692	-0.000617	0.003132	0.000154	0.001839	-0.001254	0.001605	0.002189	0.002377
626	0.835880	0.001090	0.544849	0.002866	0.301756	0.002770	0.140818	0.003103	0.056983	0.003648	0.022743	0.003792	0.009008	0.003589	0.005768	0.002395	-0.002295	0.002975	-0.001910	0.003515	0.002141	0.001445
627	0.834549	0.001930	0.541069	0.005184	0.296875	0.007639	0.140606	0.006721	0.054379	0.006298	0.019194	0.002319	0.006887	0.003554	0.000579	0.003022	0.001408	0.002958	-0.000598	0.002497	0.003192	0.001142
628	0.831790	0.002778	0.538021	0.006709	0.295833	0.007403	0.137384	0.008309	0.053492	0.005945	0.014738	0.003368	0.004880	0.003431	-0.000328	0.003770	-0.002315	0.001885	0.004321	0.002147	0.002334	0.001868
629	0.829514	0.002250	0.534182	0.006581	0.289564	0.009578	0.135513	0.010388	0.057620	0.007646	0.021470	0.003295	0.007002	0.003778	0.003299	0.002952	0.002373	0.002516	0.000251	0.001643	0.000887	0.002171
630	0.828877	0.002453	0.529070	0.006128	0.284009	0.006610	0.130710	0.007790	0.059259	0.004938	0.015856	0.003562	0.001582	0.003178	-0.000984	0.004779	0.001620	0.004327	-0.000733	0.002389	0.002749	0.002717
631	0.829630	0.001697	0.530999	0.005078	0.288137	0.007110	0.135532	0.006709	0.057002	0.004232	0.021547	0.001201	0.004707	0.003704	-0.002103	0.002414	-0.000077	0.002576	-0.000174	0.001947	0.001167	0.002347
632	0.825714	0.000480	0.522859	0.003108	0.274633	0.005585	0.124614	0.004951	0.052122	0.002226	0.018364	0.003218	0.010089	0.001853	0.002489	0.003631	0.000251	0.002905	-0.002064	0.001953	0.000521	0.002091
633	0.824209	0.002448	0.521759	0.004675	0.275675	0.008029	0.122975	0.005672	0.047955	0.002437	0.015780	0.002116	0.006308	0.002553	0.005999	0.002489	-0.001235	0.002625	-0.002180	0.002466	0.000521	0.001127
634	0.823746	0.002153	0.521335	0.004664	0.273900	0.005635	0.127913	0.005263	0.053009	0.002019	0.019676	0.000457	0.010860	0.002541	0.006559	0.003189	0.001080	0.001485	0.001080	0.001079	-0.000096	0.001208
